2021-08-17 18:17:25,700 DEBUG  ROS Time: 284 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:27,706 DEBUG  ROS Time: 286 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:29,714 DEBUG  ROS Time: 288 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:31,721 DEBUG  ROS Time: 290 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:33,727 DEBUG  ROS Time: 292 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:35,735 DEBUG  ROS Time: 294 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:37,739 DEBUG  ROS Time: 296 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:39,746 DEBUG  ROS Time: 298 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:41,755 DEBUG  ROS Time: 300 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:43,764 DEBUG  ROS Time: 302 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:45,771 DEBUG  ROS Time: 304 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:47,777 DEBUG  ROS Time: 306 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:49,782 DEBUG  ROS Time: 308 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:51,789 DEBUG  ROS Time: 310 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:53,795 DEBUG  ROS Time: 312 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:55,803 DEBUG  ROS Time: 314 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:57,808 DEBUG  ROS Time: 316 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:59,813 DEBUG  ROS Time: 318 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:01,819 DEBUG  ROS Time: 320 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:03,826 DEBUG  ROS Time: 322 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:05,831 DEBUG  ROS Time: 324 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:07,836 DEBUG  ROS Time: 326 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:09,843 DEBUG  ROS Time: 328 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:11,849 DEBUG  ROS Time: 330 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:13,854 DEBUG  ROS Time: 332 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:15,860 DEBUG  ROS Time: 334 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:17,867 DEBUG  ROS Time: 336 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:19,872 DEBUG  ROS Time: 338 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:21,878 DEBUG  ROS Time: 340 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:23,886 DEBUG  ROS Time: 342 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:25,892 DEBUG  ROS Time: 344 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:27,900 DEBUG  ROS Time: 346 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:29,912 DEBUG  ROS Time: 348 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:31,917 DEBUG  ROS Time: 350 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:33,927 DEBUG  ROS Time: 352 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:35,934 DEBUG  ROS Time: 354 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:37,945 DEBUG  ROS Time: 356 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:39,955 DEBUG  ROS Time: 358 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:41,964 DEBUG  ROS Time: 360 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:43,973 DEBUG  ROS Time: 362 | active tasks: 0 | terminated tasks: 0 | active robots: 2
