2021-07-27 11:17:53,741 DEBUG  ROS Time: 386 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:55,762 DEBUG  ROS Time: 388 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:57,796 DEBUG  ROS Time: 390 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:00,063 DEBUG  ROS Time: 392 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:02,566 DEBUG  ROS Time: 393 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:04,590 DEBUG  ROS Time: 395 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:06,607 DEBUG  ROS Time: 397 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:08,635 DEBUG  ROS Time: 398 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:10,680 DEBUG  ROS Time: 400 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:12,732 DEBUG  ROS Time: 401 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:14,745 DEBUG  ROS Time: 403 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:16,753 DEBUG  ROS Time: 405 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:18,791 DEBUG  ROS Time: 407 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:20,802 DEBUG  ROS Time: 409 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:22,811 DEBUG  ROS Time: 411 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:24,817 DEBUG  ROS Time: 413 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:26,825 DEBUG  ROS Time: 415 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:28,830 DEBUG  ROS Time: 417 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:30,846 DEBUG  ROS Time: 419 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:32,856 DEBUG  ROS Time: 421 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:34,867 DEBUG  ROS Time: 423 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:36,890 DEBUG  ROS Time: 425 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:38,917 DEBUG  ROS Time: 427 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:40,937 DEBUG  ROS Time: 429 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:42,944 DEBUG  ROS Time: 431 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:44,947 DEBUG  ROS Time: 433 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:46,955 DEBUG  ROS Time: 435 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:48,964 DEBUG  ROS Time: 437 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:50,973 DEBUG  ROS Time: 439 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:52,981 DEBUG  ROS Time: 441 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:54,994 DEBUG  ROS Time: 443 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:57,002 DEBUG  ROS Time: 445 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:18:59,013 DEBUG  ROS Time: 447 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:19:01,026 DEBUG  ROS Time: 449 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:19:03,031 DEBUG  ROS Time: 451 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:19:05,037 DEBUG  ROS Time: 453 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:19:07,043 DEBUG  ROS Time: 455 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:19:09,053 DEBUG  ROS Time: 457 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:19:11,063 DEBUG  ROS Time: 459 | active tasks: 0 | terminated tasks: 1 | active robots: 2
